,time,total
49507,1850-09-01,1549.0634976645886
49508,1850-10-01,1072.952013451386
49509,1850-11-01,1490.7145902380535
49510,1850-12-01,2425.8763444520364
49511,1851-01-01,10603.306269410625
49512,1851-02-01,13690.52325467901
49513,1851-03-01,8735.084203605395
49514,1851-04-01,9212.131369547278
49515,1851-05-01,10785.432624591851
49516,1851-06-01,6678.083671568954
49517,1851-07-01,4900.528350093933
49518,1851-08-01,3255.205352441585
49519,1851-09-01,2165.005866645821
49520,1851-10-01,1891.1213030375534
49521,1851-11-01,1667.5220867870908
49522,1851-12-01,4240.20688097319
49523,1852-01-01,4960.498202519693
49524,1852-02-01,8382.39061453858
49525,1852-03-01,12293.441910652695
49526,1852-04-01,14158.45883563181
49527,1852-05-01,10478.66624018471
49528,1852-06-01,7060.20556853111
49529,1852-07-01,4607.175012398576
49530,1852-08-01,2820.575335446645
49531,1852-09-01,2050.0858692509273
49532,1852-10-01,1276.0847779724759
49533,1852-11-01,1135.4435274444318
49534,1852-12-01,2467.975281365803
49535,1853-01-01,5587.030931400708
49536,1853-02-01,8285.578183678446
49537,1853-03-01,3790.858252325804
49538,1853-04-01,6134.000272388346
49539,1853-05-01,6031.069918966054
49540,1853-06-01,3782.891866725129
49541,1853-07-01,2992.416455165982
49542,1853-08-01,1716.197708579746
49543,1853-09-01,1281.1564846494098
49544,1853-10-01,1306.853387946093
49545,1853-11-01,1953.1871765825906
49546,1853-12-01,1911.0672976083824
49547,1854-01-01,2754.5598530569305
49548,1854-02-01,18165.284633862757
49549,1854-03-01,17707.039871855806
49550,1854-04-01,14826.949341160507
49551,1854-05-01,12751.09987734717
49552,1854-06-01,7655.140987739407
49553,1854-07-01,4526.119377072002
49554,1854-08-01,3034.2622381542324
49555,1854-09-01,2366.296283012352
49556,1854-10-01,1167.9913276223722
49557,1854-11-01,1354.8335807897279
49558,1854-12-01,1324.139745948265
49559,1855-01-01,942.6873495730777
49560,1855-02-01,2678.962183854608
49561,1855-03-01,8496.859398545317
49562,1855-04-01,10928.249848768432
49563,1855-05-01,9453.212521477577
49564,1855-06-01,5004.971506851658
49565,1855-07-01,3706.012150138975
49566,1855-08-01,2333.9488068023034
49567,1855-09-01,1573.314466569278
49568,1855-10-01,1218.1186498635298
49569,1855-11-01,1363.8183457870414
49570,1855-12-01,1980.1725228504142
49571,1856-01-01,5680.668685233648
49572,1856-02-01,14551.207026790707
49573,1856-03-01,16672.7376940549
49574,1856-04-01,18134.862995575324
49575,1856-05-01,13540.73109906595
49576,1856-06-01,9499.143281442812
49577,1856-07-01,5062.99178686364
49578,1856-08-01,3145.1005216720387
49579,1856-09-01,2129.955306400303
49580,1856-10-01,1327.8155739290225
49581,1856-11-01,1445.6653178918923
49582,1856-12-01,4396.476208032126
49583,1857-01-01,3823.2762762206216
49584,1857-02-01,5032.674899177239
